No,Value,Cluster
1,3766.9,1
2,3764,1
3,3825.7,2
4,3867.9,2
5,3945.6,2
6,3944.3,2
7,3960.4,2
8,3929.2,2
9,3925.1,2
10,3960.8,2
11,4007.8,1
12,4071.1,1
13,4083.6,1
14,4030.8,1
15,4036.1,1
16,4007.9,1
17,3974.5,1
18,4017.4,1
19,4010.2,1
20,4007,1
21,4008.8,1
22,4065.7,1
23,4083.5,1
24,4069.5,1
25,4094.6,1
26,4035.3,1
27,3982.7,1
28,3970.1,2
29,3979.2,1
30,3974,1
31,3900,2
32,3890.9,2
33,3938.8,2
34,3922.5,2
35,3950,2
36,3947.2,2
37,3964.4,2
38,4000.9,1
39,3992.3,1
40,4011.5,1
41,3976.7,1
42,3975.5,1
43,3978.2,1
44,3995.4,1
45,4000.1,1
46,4020,1
47,4002.7,1
48,3929.7,2
49,3888.2,2
50,3907,2
51,3903.4,2
52,3912.9,2
53,3926.2,2
54,3902.3,2
55,3909.9,2
56,3904.8,2
57,3905.1,2
58,3888.8,2
59,3844.9,2
60,3847.8,2
61,3899.4,2
62,3941.1,2
63,3946.5,2
64,3932.3,2
65,3936,2
66,3907.2,2
67,3909.9,2
68,3913,2
69,3931.5,2
70,3941.5,2
71,4014.4,1
72,4002.1,1
73,3997.8,1
74,4011.2,1
75,3995.1,1
76,3986.1,1
77,3971.8,1
78,3955,2
79,3963.1,2
80,3952.9,2
81,3956.4,2
82,3902.4,2
83,3877.4,2
84,3841.2,2
85,3861.5,2
86,3868.9,2
87,3838.8,2
88,3848.6,2
89,3863.5,2
90,3873,2
91,3872.4,2
92,3897.9,2
93,3874.4,2
94,3855,2
95,3882.7,2
96,3875.9,2
97,3860.2,2
98,3859.9,2
99,3867.7,2
100,3838.1,2
101,3736.4,1
102,3691.3,1
103,3701.1,1
104,3684.7,1
105,3686.1,1
106,3632.5,1
107,3620.5,1
108,3664.5,1
109,3657.6,1
110,3644,1
111,3618.1,1
112,3647,1
113,3667.1,1
114,3660.7,1
115,3647.2,1
116,3694,1
117,3732,1
118,3712.5,1
119,3732.6,1
120,3714.1,1
121,3666.2,1
122,3657.2,1
123,3628.9,1
124,3602.2,1
125,3596.6,1
126,3570,1
127,3589.9,1
128,3584.4,1
129,3611.6,1
130,3550.6,1
131,3558.8,1
132,3550.8,1
133,3564.5,1
134,3568.4,1
135,3590.7,1
136,3611.3,1
137,3607.5,1
138,3622.9,1
139,3611.9,1
140,3608.6,1
141,3591.8,1
142,3578.6,1
143,3595,1
144,3620.9,1
145,3636.5,1
146,3691.6,1
147,3691.8,1
148,3703.5,1
149,3693.2,1
150,3715.9,1
151,3721.8,1
152,3726.4,1
153,3756.2,1
154,3778.2,1
155,3776.6,1
156,3750.7,1
157,3768.4,1
158,3754.5,1
159,3721,1
160,3736.9,1
161,3753.6,1
162,3747.3,1
163,3743.2,1
164,3763.7,1
165,3766.2,1
166,3735.7,1
167,3744.1,1
168,3756.7,1
169,3772.5,1
170,3751.8,1
171,3761.7,1
172,3760.7,1
173,3764.8,1
174,3731.2,1
175,3675.4,1
176,3682.6,1
177,3654.4,1
178,3649.3,1
179,3674.3,1
180,3669.1,1
181,3674.3,1
182,3663.6,1
183,3686.3,1
184,3691.6,1
185,3719.4,1
186,3711,1
187,3693.7,1
188,3705.9,1
189,3699.7,1
190,3691.1,1
191,3664.4,1
192,3667.8,1
193,3675,1
194,3670.9,1
195,3669,1
196,3678.6,1
197,3680.7,1
198,3670.6,1
199,3678.5,1
200,3693.2,1
201,3766.1,1
202,3755.6,1
203,3779.9,1
204,3778.8,1
205,3770.2,1
206,3763.8,1
207,3768.9,1
208,3753.2,1
209,3759,1
210,3753.1,1
211,3766.4,1
212,3761.4,1
213,3773.2,1
214,3775.3,1
215,3861.7,2
216,3913.6,2
217,3934.4,2
218,3920.1,2
219,3898,2
220,3909.8,2
221,3911.5,2
222,3928.6,2
223,3930.2,2
224,3944.6,2
225,3930.2,2
226,3919.5,2
227,3923.3,2
228,3925.8,2
229,3931.1,2
230,3924.3,2
231,3905,2
232,3910.9,2
233,3871.5,2
234,3866.9,2
235,3886.8,2
236,3908.3,2
237,3913.4,2
238,3911.8,2
239,3938.1,2
240,3939.5,2
241,3952.4,2
242,3947.2,2
243,3942.4,2
244,3939.7,2
245,3925.1,2
246,3913.5,2
247,3906.6,2
248,3911.2,2
249,3906.7,2
250,3909.8,2
251,3902.1,2
252,3915.1,2
253,3908.4,2
254,3895.3,2
255,3885.8,2
256,3897.8,2
257,3910.2,2
258,3896.1,2
259,3911.6,2
260,3936.3,2
261,3932.3,2
262,3934,2
263,3936.5,2
264,3938,2
265,3936.8,2
266,3936,2
267,3959.1,2
268,4040.4,1
269,4075.5,1
270,4077.2,1
271,4069.9,1
272,4066.5,1
273,4087.5,1
274,4076.9,1
275,4076.7,1
276,4082.6,1
277,4113.8,1
278,4165.7,3
279,4176.3,3
280,4166.1,3
281,4168.1,3
282,4191.3,3
283,4204,3
284,4201.4,3
285,4179.1,3
286,4173,3
287,4164.5,3
288,4168.6,3
289,4196.2,3
290,4234.3,3
291,4234.4,3
292,4230.8,3
293,4223.3,3
294,4243.6,1
295,4254.5,1
296,4242.2,1
297,4184.7,3
298,4184.4,3
299,4185.6,3
300,4198.5,3
301,4169.6,3
302,4143.2,3
303,4139.5,3
304,4152.1,3
305,4187.3,3
306,4175.9,3
307,4150.7,3
308,4149.7,3
309,4162.6,3
310,4177.2,3
311,4190,3
312,4179.9,3
313,4185.7,3
314,4189.7,3
315,4159.1,3
316,4100,1
317,4075.4,1
318,4081.2,1
319,4061,1
320,4042.1,1
321,4047.2,1
322,4078.8,1
323,4110.9,1
324,4107.6,1
325,4108,1
326,4144.2,3
327,4187.3,3
328,4199.4,3
329,4183.1,3
